ลำดับ,เขตสุขภาพ,ชื่อจังหวัด,ละติจูด_Lat,ลองจิจูด_Lng,จำนวนแพทย์เวชศาสตร์ครอบครัว
1,1,เชียงใหม่,18.7883,98.9853,230
2,1,ลำพูน,18.5744,99.0087,25
3,1,ลำปาง,18.2888,99.4928,55
4,1,แพร่,18.1446,100.1411,31
5,1,น่าน,18.7838,100.7782,30
6,1,พะเยา,19.1664,99.9019,22
7,1,เชียงราย,19.9076,99.8325,79
8,1,แม่ฮ่องสอน,19.302,97.9654,8
9,2,อุตรดิตถ์,17.6256,100.0993,9
10,2,ตาก,16.8839,99.1258,24
11,2,สุโขทัย,17.0118,99.8264,31
12,2,พิษณุโลก,16.8211,100.2659,63
13,2,เพชรบูรณ์,16.419,101.1567,39
14,3,ชัยนาท,15.1852,100.1252,12
15,3,นครสวรรค์,15.7047,100.1371,45
16,3,อุทัยธานี,15.3837,100.0247,15
17,3,กำแพงเพชร,16.4828,99.5227,34
18,3,พิจิตร,16.4419,100.3488,30
19,4,นนทบุรี,13.8621,100.5144,122
20,4,ปทุมธานี,14.0208,100.525,58
21,4,พระนครศรีอยุธยา,14.3532,100.5684,34
22,4,อ่างทอง,14.5896,100.455,10
23,4,ลพบุรี,14.7995,100.6534,33
24,4,สิงห์บุรี,14.891,100.4048,11
25,4,สระบุรี,14.5289,100.9108,39
26,4,นครนายก,14.2069,101.2131,8
27,5,ราชบุรี,13.5376,99.8163,32
28,5,กาญจนบุรี,14.0228,99.5328,18
29,5,สุพรรณบุรี,14.4745,100.1177,27
30,5,นครปฐม,13.8196,100.0601,50
31,5,สมุทรสาคร,13.5475,100.2744,15
32,5,สมุทรสงคราม,13.4098,99.9992,3
33,5,เพชรบุรี,13.1118,99.9397,18
34,5,ประจวบคีรีขันธ์,11.8124,99.7972,13
35,6,สมุทรปราการ,13.5991,100.5978,53
36,6,ชลบุรี,13.3611,100.9847,131
37,6,ระยอง,12.6815,101.2816,26
38,6,จันทบุรี,12.6114,102.1039,20
39,6,ตราด,12.2428,102.5175,2
40,6,ฉะเชิงเทรา,13.6904,101.078,53
41,6,ปราจีนบุรี,14.051,101.3718,10
42,6,สระแก้ว,13.814,102.0722,10
43,7,ขอนแก่น,16.4397,102.8285,155
44,7,มหาสารคาม,16.1848,103.3007,33
45,7,ร้อยเอ็ด,16.0538,103.652,48
46,7,กาฬสินธุ์,16.4328,103.5064,23
47,8,บึงกาฬ,18.3614,103.6531,0
48,8,หนองบัวลำภู,17.2039,102.4407,10
49,8,อุดรธานี,17.4138,102.7872,66
50,8,เลย,17.486,101.7223,12
51,8,หนองคาย,17.8783,102.742,11
52,8,สกลนคร,17.1612,104.1472,20
53,8,นครพนม,17.3998,104.7814,17
54,9,นครราชสีมา,14.9799,102.0978,101
55,9,บุรีรัมย์,14.993,103.1029,48
56,9,สุรินทร์,14.8818,103.4936,47
57,9,ชัยภูมิ,15.8105,102.0288,35
58,10,ศรีสะเกษ,15.1186,104.322,33
59,10,อุบลราชธานี,15.2287,104.8564,90
60,10,ยโสธร,15.7926,104.1451,10
61,10,อำนาจเจริญ,15.8584,104.6298,8
62,10,มุกดาหาร,16.5434,104.7235,11
63,11,นครศรีธรรมราช,8.4304,99.9631,37
64,11,กระบี่,8.0863,98.9063,13
65,11,พังงา,8.4501,98.5255,9
66,11,ภูเก็ต,7.8804,98.3923,34
67,11,สุราษฎร์ธานี,9.1382,99.3217,50
68,11,ระนอง,9.9529,98.6348,5
69,11,ชุมพร,10.493,99.18,6
70,12,สงขลา,7.1988,100.5954,150
71,12,สตูล,6.6238,100.0674,12
72,12,ตรัง,7.5563,99.6114,47
73,12,พัทลุง,7.6167,100.074,21
74,12,ปัตตานี,6.8696,101.2501,24
75,12,ยะลา,6.5411,101.2804,13
76,12,นราธิวาส,6.4255,101.8253,27
77,13,กรุงเทพมหานคร,13.7563,100.5018,933
