ลำดับ,ชื่อโรงพยาบาล,ชื่อย่อ_คำค้นหา,ประเภทโรงพยาบาล,เขตสุขภาพ,จังหวัด,อำเภอ,ละติจูด_Lat,ลองจิจูด_Lng
1,โรงพยาบาลศิริราช,"รพ.ศิริราช, ศิริราช, คณะแพทยศาสตร์ศิริราชพยาบาล",โรงพยาบาลมหาวิทยาลัย,13,กรุงเทพมหานคร,บางกอกน้อย,13.757827,100.485121
2,โรงพยาบาลจุฬาลงกรณ์,"รพ.จุฬาลงกรณ์, รพ.จุฬา, จุฬาลงกรณ์, คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย",โรงพยาบาลมหาวิทยาลัย,13,กรุงเทพมหานคร,ปทุมวัน,13.731792,100.534241
3,โรงพยาบาลรามาธิบดี,"รพ.รามาธิบดี, รพ.รามา, รามาธิบดี, คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี",โรงพยาบาลมหาวิทยาลัย,13,กรุงเทพมหานคร,ราชเทวี,13.766324,100.525547
4,โรงพยาบาลพระมงกุฎเกล้า,"รพ.พระมงกุฎเกล้า, รพ.พระมงกุฎ, พระมงกุฎเกล้า, วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า",โรงพยาบาลทหาร/รัฐ,13,กรุงเทพมหานคร,ราชเทวี,13.768112,100.534889
5,โรงพยาบาลวชิรพยาบาล,"รพ.วชิรพยาบาล, วชิรพยาบาล, คณะแพทยศาสตร์วชิรพยาบาล",โรงพยาบาลมหาวิทยาลัย/กทม.,13,กรุงเทพมหานคร,ดุสิต,13.779762,100.505537
6,โรงพยาบาลธรรมศาสตร์เฉลิมพระเกียรติ,"รพ.ธรรมศาสตร์, รพ.ธรรมศาสตร์เฉลิมพระเกียรติ, ธรรมศาสตร์, คณะแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์",โรงพยาบาลมหาวิทยาลัย,4,ปทุมธานี,คลองหลวง,14.074712,100.602511
7,โรงพยาบาลมหาราชนครเชียงใหม่,"รพ.มหาราชนครเชียงใหม่, รพ.สวนดอก, สวนดอก, คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่",โรงพยาบาลมหาวิทยาลัย,1,เชียงใหม่,เมืองเชียงใหม่,18.789945,98.974912
8,โรงพยาบาลศรีนครินทร์,"รพ.ศรีนครินทร์, ศรีนครินทร์, คณะแพทยศาสตร์ มหาวิทยาลัยขอนแก่น, รพ.มข.",โรงพยาบาลมหาวิทยาลัย,7,ขอนแก่น,เมืองขอนแก่น,16.467412,102.828854
9,โรงพยาบาลสงขลานครินทร์,"รพ.สงขลานครินทร์, รพ.มอ., สงขลานครินทร์, คณะแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์",โรงพยาบาลมหาวิทยาลัย,12,สงขลา,หาดใหญ่,7.009412,100.498523
10,โรงพยาบาลมหาวิทยาลัยนเรศวร,"รพ.มหาวิทยาลัยนเรศวร, รพ.มน., คณะแพทยศาสตร์ มหาวิทยาลัยนเรศวร",โรงพยาบาลมหาวิทยาลัย,2,พิษณุโลก,เมืองพิษณุโลก,16.744512,100.194723
